City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Veraval,IN,81.07,broken clouds,20.9,70.3667,Lords Inn Somnath
443,Grand-Santi,GF,81.72,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
444,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
445,Goderich,CA,71.92,clear sky,43.7501,-81.7165,Harmony Inn
446,Erzin,TR,76.59,clear sky,36.9559,36.2,Artemis Otel
447,Lasem,ID,74.89,few clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
448,Sabya,SA,91.02,broken clouds,17.1495,42.6254,Aseel Hotel Apartment
449,Deming,US,89.49,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
450,Nabire,ID,74.91,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
451,Muroto,JP,80.53,broken clouds,33.2833,134.15,Oota Ryokan
453,Dunda,TZ,70.23,overcast clouds,-8.1167,34.25,
455,Ambanja,MG,71.49,light rain,-13.6833,48.45,Hotel Salama and Fast Food
456,Burns Lake,CA,78.22,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
457,Mikuni,JP,78.71,clear sky,36.2171,136.1519,Seifuso
458,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
459,Kimparana,ML,83.37,broken clouds,12.8347,-4.9244,
460,Xichang,CN,66.09,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
462,Camacari,BR,80.37,clear sky,-12.6975,-38.3242,Sítio Blasi
463,Saint Anthony,US,89.04,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
465,Foindu,SL,75.76,overcast clouds,7.4108,-11.5422,
466,Rabat,MA,78.87,clear sky,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
471,Forchheim,DE,69.15,few clouds,49.7175,11.0588,Hotel Plaza
472,Kokopo,PG,75.97,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
473,Thoen,TH,77.79,overcast clouds,17.6129,99.2161,บ้านห้องนอน
474,Casambalangan,PH,80.29,overcast clouds,18.3765,122.1274,Villa Saturnina
475,Smithers,CA,77.32,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
481,San Quintin,MX,74.97,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
482,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
483,Mitzic,GA,68.74,scattered clouds,0.7821,11.549,Motel Emys
484,Ferrol,ES,74.71,clear sky,43.4832,-8.2369,Hotel Spa Sercotel Odeón
485,Nantucket,US,87.94,clear sky,41.2835,-70.0995,Jared Coffin House
487,Prince Rupert,CA,68.09,broken clouds,54.3161,-130.3201,Crest Hotel
488,Laguna,US,90.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
491,Ryotsu,JP,79.02,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
492,Uthal,PK,81.72,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
497,Chabahar,IR,81.84,overcast clouds,25.2919,60.643,هتل گدروشیا
499,Monterey,US,91.18,clear sky,36.2505,-121.2516,
500,Nyimba,ZM,65.32,clear sky,-14.5566,30.8149,Dali Dali Lodge
502,Matara,LK,77.74,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
503,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
506,Taiyuan,CN,73.26,overcast clouds,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
507,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
508,Vinh,VN,80.37,moderate rain,18.6667,105.6667,Vuong Hoan 2
509,Sorong,ID,78.48,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
510,Kovalevskoye,RU,80.89,clear sky,45.1942,40.9761,
512,Yazoo City,US,86.7,overcast clouds,32.8551,-90.4056,Hampton Inn Yazoo City
513,Seoul,KR,82.0,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
514,Madison,US,88.99,light rain,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
515,Kosonsoy,UZ,70.36,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
516,Gazanjyk,TM,84.99,clear sky,39.2446,55.5154,Railway motel
517,Carupano,VE,83.95,few clouds,10.6678,-63.2585,Hotel La dorada
