City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Deputatskiy,RU,69.3,139.9,50.92,90,88,2.62,overcast clouds
202,Dhidhdhoo,MV,6.8833,73.1,81.5,79,100,17.94,overcast clouds
203,Tuatapere,NZ,-46.1333,167.6833,36.48,92,85,5.08,light rain
204,Gonen,TR,40.1049,27.654,76.96,79,0,6.24,clear sky
205,Straumen,NO,63.8709,11.2999,64.4,67,88,2.35,overcast clouds
206,Svetlaya,RU,46.5389,138.3297,69.66,82,7,9.28,clear sky
207,Lasa,IT,46.6166,10.7002,66.36,72,44,6.6,scattered clouds
208,Sola,VU,-13.8833,167.55,80.11,73,96,11.27,overcast clouds
209,Ust-Maya,RU,60.4167,134.5333,61.3,86,100,5.06,overcast clouds
210,Fairbanks,US,64.8378,-147.7164,68.22,53,0,0.0,clear sky
211,Upernavik,GL,72.7868,-56.1549,43.83,85,100,8.32,overcast clouds
212,Gweta,BW,-20.1833,25.2333,65.62,24,0,5.97,clear sky
213,Burdur,TR,37.7203,30.2908,84.9,23,0,13.8,clear sky
214,Shenzhen,CN,22.5455,114.0683,86.27,91,80,4.09,broken clouds
215,Mukhen,RU,48.1,136.1,67.93,97,72,4.79,broken clouds
216,Sheltozero,RU,61.3667,35.3667,56.93,83,80,8.86,broken clouds
217,Iqaluit,CA,63.7506,-68.5145,40.73,100,100,9.22,overcast clouds
218,Birjand,IR,32.8663,59.2211,79.27,34,89,9.22,overcast clouds
219,Nicolas Bravo,MX,18.45,-88.9167,87.48,58,35,7.16,scattered clouds
220,Huallanca,PE,-9.8993,-76.9417,60.24,24,5,7.31,clear sky
221,Raudeberg,NO,61.9875,5.1352,56.95,73,100,26.96,light rain
222,Paciran,ID,-6.8767,112.3761,75.34,85,3,8.16,clear sky
223,Porosozero,RU,62.7191,32.727,49.37,97,100,6.98,overcast clouds
224,Pevek,RU,69.7008,170.3133,43.79,73,12,14.03,few clouds
225,Carnarvon,AU,-24.8667,113.6333,62.01,57,100,14.83,overcast clouds
226,Belyy Yar,RU,53.6039,91.3903,67.89,79,0,6.71,clear sky
227,Mayskiy,RU,47.6931,40.1025,80.01,38,82,11.7,broken clouds
228,Westport,US,41.1415,-73.3579,88.9,45,75,13.8,broken clouds
229,Karaton,ID,-6.3424,106.1045,73.56,92,100,2.39,overcast clouds
230,Hvide Sande,DK,56.0045,8.1294,63.09,83,100,7.29,overcast clouds
231,Christchurch,NZ,-43.5333,172.6333,38.91,93,75,17.27,light rain
232,Misratah,LY,32.3754,15.0925,83.08,65,0,7.14,clear sky
233,Ampanihy,MG,-24.7,44.75,68.02,75,99,1.97,overcast clouds
234,Luzhou,CN,28.8724,105.4405,79.07,89,34,2.8,scattered clouds
235,Serowe,BW,-22.3833,26.7167,61.2,21,0,4.97,clear sky
236,Galiakot,IN,23.5167,74.0,83.88,64,100,9.75,overcast clouds
237,Warrington,GB,53.3925,-2.5802,68.72,87,40,8.05,scattered clouds
238,Dingle,PH,10.9995,122.6711,75.69,88,100,4.12,overcast clouds
239,Merauke,ID,-8.4667,140.3333,77.16,86,100,16.24,overcast clouds
240,Ponta Do Sol,PT,32.6667,-17.1,78.01,80,2,5.39,clear sky
241,Belomorsk,RU,64.5232,34.7668,55.87,96,100,4.9,overcast clouds
242,Columbus,US,39.9612,-82.9988,84.11,49,20,4.61,few clouds
243,Esso,RU,55.9333,158.7,49.95,90,100,2.48,overcast clouds
244,Takaka,NZ,-40.85,172.8,44.56,86,99,5.68,moderate rain
245,Khislavichi,RU,54.1871,32.1582,59.54,72,78,3.98,broken clouds
246,Brae,GB,60.3964,-1.353,53.96,79,45,14.63,scattered clouds
247,Faya,SA,18.3851,42.4509,71.71,55,58,4.14,broken clouds
248,Half Moon Bay,US,37.4636,-122.4286,78.13,76,75,14.97,broken clouds
249,Nara,JP,34.6851,135.8049,81.5,64,93,2.64,overcast clouds
250,Bulgan,MN,48.8125,103.5347,57.87,65,86,3.36,overcast clouds
251,Gouyave,GD,12.1646,-61.7296,84.97,70,0,25.32,clear sky
252,Aginskoye,RU,51.1,114.53,56.97,85,5,3.47,clear sky
253,Ypsonas,CY,34.6884,32.9574,81.45,78,0,6.91,clear sky
254,Riachao Das Neves,BR,-11.7461,-44.91,94.3,17,2,0.67,clear sky
255,Tura,IN,25.5198,90.2201,74.16,98,100,5.53,light rain
256,Otsuki,JP,35.6,138.9333,77.99,91,23,3.94,few clouds
257,Liverpool,GB,53.4106,-2.9779,67.14,85,40,8.05,scattered clouds
258,Aykhal,RU,66.0,111.5,64.18,84,100,3.42,light rain
259,Rovaniemi,FI,66.5,25.7167,53.01,76,100,9.22,overcast clouds
260,Hualmay,PE,-11.0964,-77.6139,67.46,69,15,9.48,few clouds
261,Chara,RU,56.9064,118.2631,61.32,72,100,1.05,overcast clouds
262,Peniche,PT,39.3558,-9.3811,80.08,84,0,8.88,clear sky
263,Sovetskiy,RU,61.3614,63.5842,66.25,81,100,4.99,light rain
264,Lianzhou,CN,24.7811,112.3825,74.3,83,49,1.54,scattered clouds
265,Srednekolymsk,RU,67.45,153.6833,58.57,49,2,8.01,clear sky
266,Sorland,NO,67.667,12.6934,57.06,67,6,9.6,clear sky
267,Lompoc,US,34.6391,-120.4579,89.78,63,0,13.8,clear sky
268,Kalispell,US,48.1958,-114.3129,91.49,32,0,5.01,clear sky
269,San Jose Del Palmar,CO,4.9742,-76.2283,71.13,88,100,3.85,overcast clouds
270,Dikson,RU,73.5069,80.5464,40.53,92,12,13.22,few clouds
271,Atar,MR,20.5169,-13.0499,91.74,41,100,14.18,light rain
272,Mezinovskiy,RU,55.5042,40.3593,59.18,68,51,3.09,broken clouds
273,Lenger,KZ,42.183,69.8839,71.04,36,0,5.97,clear sky
274,Eilenburg,DE,51.4598,12.6334,67.12,85,99,3.69,overcast clouds
275,Cayenne,GF,4.9333,-52.3333,85.08,6,75,5.75,broken clouds
276,Santa Maria,BR,-29.6842,-53.8069,63.7,55,0,8.05,clear sky
277,Broken Hill,AU,-31.95,141.4333,52.93,45,100,14.38,overcast clouds
278,Angoche,MZ,-16.2325,39.9086,73.02,75,76,6.31,broken clouds
279,Atocha,BO,-20.9333,-66.2333,59.95,10,0,15.35,clear sky
280,Yumen,CN,40.2833,97.2,78.91,24,100,5.3,overcast clouds
281,Verona,IT,45.4167,11.0333,81.43,50,20,3.44,few clouds
282,Upata,VE,8.0086,-62.3989,83.19,64,77,1.19,broken clouds
283,Komsomolskiy,UZ,40.4272,71.7189,84.92,26,100,16.11,overcast clouds
284,Mount Isa,AU,-20.7333,139.5,44.37,76,100,0.0,overcast clouds
285,Kysyl-Syr,RU,63.8986,122.7617,62.06,95,65,3.91,broken clouds
286,Nador,MA,35.174,-2.9287,82.65,83,75,6.91,broken clouds
287,Pombas,CV,17.1503,-25.0201,78.58,77,100,7.11,overcast clouds
288,Carballo,ES,43.213,-8.691,78.22,79,0,12.03,clear sky
289,Paita,PE,-5.0892,-81.1144,69.6,73,13,16.58,few clouds
290,College,US,64.8569,-147.8028,68.2,54,75,0.0,broken clouds
291,Envira,BR,-7.3,-70.2167,85.33,53,98,0.4,overcast clouds
292,Tianpeng,CN,30.9866,103.9393,81.07,85,0,3.47,clear sky
293,Poya,NC,-21.35,165.15,67.32,86,99,13.22,overcast clouds
294,Taksimo,RU,56.3444,114.8794,59.32,93,100,1.7,light rain
295,Gariaband,IN,20.635,82.0614,79.88,77,100,3.8,overcast clouds
296,Fortuna,US,40.5982,-124.1573,65.98,91,75,6.91,broken clouds
297,Kununurra,AU,-15.7667,128.7333,51.78,87,30,0.0,scattered clouds
298,Hopeman,GB,57.7068,-3.4291,64.22,74,75,13.8,broken clouds
299,Tomatlan,MX,19.9333,-105.25,92.98,44,80,7.05,broken clouds
300,San Juan,AR,-31.5375,-68.5364,68.43,21,4,11.14,clear sky
301,Gamboma,CG,-1.8764,15.8644,84.9,42,100,2.06,overcast clouds
302,Severnyy,RU,50.677,36.5532,71.64,46,0,2.24,clear sky
303,Nevelsk,RU,46.6733,141.8633,65.89,91,100,9.71,overcast clouds
304,Lazaro Cardenas,MX,17.9583,-102.2,88.27,55,73,9.04,broken clouds
305,Turukhansk,RU,65.8167,87.9833,56.52,69,75,16.75,broken clouds
306,Pizarro,CO,4.9533,-77.366,81.01,83,100,9.91,light rain
307,Petauke,ZM,-14.2426,31.3253,63.21,40,36,4.65,scattered clouds
308,Boquira,BR,-12.8231,-42.7306,89.91,16,0,6.69,clear sky
309,Zvishavane,ZW,-20.3267,30.0665,60.33,23,0,2.08,clear sky
310,Conakry,GN,9.538,-13.6773,78.87,78,40,9.22,scattered clouds
311,Namatanai,PG,-3.6667,152.4333,77.72,75,100,7.31,overcast clouds
312,Aranos,NA,-24.1333,19.1167,54.59,26,39,10.38,scattered clouds
313,Brownsville,US,25.9018,-97.4975,97.09,47,0,14.97,clear sky
314,Cherskiy,RU,68.75,161.3,53.96,58,100,18.48,overcast clouds
315,Rantoul,US,40.3084,-88.1559,84.43,45,75,0.0,broken clouds
316,Borgarnes,IS,64.5383,-21.9206,51.85,59,45,5.88,scattered clouds
317,Kavieng,PG,-2.5744,150.7967,81.64,76,75,12.19,light rain
318,Bethel,US,41.3712,-73.414,86.85,43,75,10.36,broken clouds
319,Waddan,LY,29.1614,16.139,91.26,21,0,9.69,clear sky
320,Yerbogachen,RU,61.2767,108.0108,58.32,95,96,2.91,overcast clouds
321,Nevers,FR,46.9167,3.3333,75.13,44,83,1.32,broken clouds
322,Umm Lajj,SA,25.0213,37.2685,90.07,42,40,8.01,scattered clouds
323,Byron Bay,AU,-28.65,153.6167,50.94,74,100,2.71,overcast clouds
324,Leningradskiy,RU,69.3833,178.4167,47.34,70,88,5.03,overcast clouds
325,Ville-Marie,CA,47.3335,-79.433,78.49,40,38,9.44,scattered clouds
326,Paoua,CF,7.2427,16.4406,70.14,93,93,1.32,light rain
327,Kirensk,RU,57.7853,108.1119,58.64,95,95,2.08,overcast clouds
328,Karratha,AU,-20.7377,116.8463,71.11,57,24,4.85,few clouds
329,Tual,ID,-5.6667,132.75,79.09,86,73,19.24,broken clouds
330,Norman Wells,CA,65.282,-126.8329,64.44,63,75,10.36,broken clouds
331,Bilibino,RU,68.0546,166.4372,50.63,64,100,4.23,overcast clouds
332,Huatusco,MX,19.15,-96.95,77.31,50,13,6.53,few clouds
333,Chimoio,MZ,-19.1164,33.4833,58.86,77,0,1.16,clear sky
334,Svetlyy,RU,54.675,20.1347,64.45,72,100,10.6,overcast clouds
335,Odweyne,SO,9.4092,45.064,75.49,51,46,17.02,scattered clouds
336,Pniv,UA,48.6178,24.5287,65.59,86,100,5.68,light rain
337,Luanda,AO,-8.8368,13.2343,71.6,68,0,6.91,clear sky
338,Ola,RU,59.5833,151.2833,52.14,82,100,3.22,overcast clouds
339,Pinawa,CA,50.1489,-95.8811,84.25,35,0,8.59,clear sky
340,Aklavik,CA,68.2191,-135.0107,48.2,81,100,4.61,shower rain
341,Bumba,CD,2.1833,22.4667,71.42,94,37,2.93,scattered clouds
342,Kasangulu,CD,-4.5911,15.1708,80.47,36,23,6.24,few clouds
343,Nobres,BR,-14.7203,-56.3275,92.26,22,8,1.88,clear sky
344,Natal,BR,-5.795,-35.2094,80.82,83,75,9.22,broken clouds
345,Mgachi,RU,51.05,142.2667,57.63,97,100,8.63,overcast clouds
346,Elko,US,41.0002,-115.5012,92.64,13,0,10.0,clear sky
347,Huarmey,PE,-10.0681,-78.1522,68.04,70,94,9.24,overcast clouds
